HookID,赛道/品类,平台,受众阶段,Hook类型,情绪按钮(好奇/焦虑/爽感/危机/身份),适用时长(15/30/60),Hook文案,可替换变量位,禁用/敏感词,适配场景,搭配的论点方向,参考链接/来源,表现数据(播放/赞/评/藏/关),状态(待测/在用/淘汰),创建人,创建日期,备注
H001,买房+融资,视频号,冷,反常识,好奇,30,"30岁后买房，先别问利率：你真正该先问的是“月供安全线”",{城市}{人群},保过/必批/内部渠道/刷流水/修复征信,口播+字幕,"预算先行：现金流>利率",,,"待测",你,2026-01-12,"适合做系列开篇"
H002,买房+融资,视频号,冷,提问,焦虑,15,"你收入不低，为什么按揭还是卡？可能卡在“负债结构”不是收入",{},保过/必批/秒批,快问快答,"负债看月供覆盖，不只看总额",,,"待测",你,2026-01-12,"结尾引导私信预算表"
H003,买房+融资,视频号,冷,数字清单,好奇,30,"同样首付，同样收入，额度区间差很多：常见就差这3个细节",{数字},最低利率/包批,清单口播,"征信/负债/月供覆盖三件套",,,"待测",你,2026-01-12,"可做3集拆解"
H004,买房+融资,视频号,浅热,场景化,焦虑,60,"深圳买房最容易“临门一脚卡住”的，不是看房，是签约前这4笔钱没算",{城市},借钱上车/无视风险,白板/对比图,"首付外现金流清单：税费+服务费+过渡+装修家电",,,"待测",你,2026-01-12,"本地生活强相关"
H005,买房+融资,视频号,冷,误区纠偏,好奇,30,"很多人顺序做反了：先凑首付再看贷款，结果总价定错",{},必过/保姆式代办,流程讲解,"先预评估→再定预算→再选盘",,,"待测",你,2026-01-12,"适合引导表单预评估"
H006,买房+融资,视频号,冷,对比,爽感,30,"同一套房：方案A月供更低但更危险，方案B更稳——差别在这里",{},绝对最低利率,对比图+口播,"综合成本+安全垫，而不是只比利率",,,"待测",你,2026-01-12,"适合收藏"
H007,买房+融资,视频号,浅热,故事,身份,60,"我见过最可惜的：提前半年做1件事，明明能上车却拖黄了",{},修复征信/洗白,故事口播,"查询次数管理+时间轴规划",,,"待测",你,2026-01-12,"注意不要暗示“征信修复”"
H008,买房+融资,视频号,冷,痛点直击,危机,30,"30+买房最怕的不是还30年：是资金链被月供掐住",{},稳赚/躺赚,情绪口播,"现金流安全垫：6-12个月应急金",,,"待测",你,2026-01-12,"可配白板公式"
H009,买房+融资,视频号,冷,反转,好奇,15,"负债越低越好？在按揭里不完全对：关键看“每月要还多少”",{},教你上岸,短视频快节奏,"月供覆盖/负债结构",,,"待测",你,2026-01-12,"适合做爆款短平快"
H010,买房+融资,视频号,浅热,福利,爽感,30,"送你一张《按揭资料自查表》：照着准备，少跑冤枉路",{},,福利引导,"资料清单获客",,,"待测",你,2026-01-12,"置顶评论放关键词"
